Location,MachineName,HashRate(24h),EstRevenue(30d),EstProfit(30d),Price,NumMachines,Cost,URL
KY-LF,Bitmain S19j Pro 100T,91.86 TH/s,0.001945,-0.000965,0.013855,2,0.00291,https://marketplace.blockwaresolutions.com/detail/1521
KY-LF,Bitmain S19j Pro 104T,0.09181818181818181 PH/s,0.002046363636363636,-0.0009818181818181818,0.01472,11,0.003028181818181818,https://marketplace.blockwaresolutions.com/detail/1520
KY-LF,Bitmain S19j Pro+ 120T,0.1111111111111111 PH/s,0.0023788888888888887,-0.0009266666666666667,0.02337888888888889,9,0.0033055555555555555,https://marketplace.blockwaresolutions.com/detail/1519
KY-LF,Whatsminer M50S 128T,118.94 TH/s,0.00331,7e-05,0.02016,1,0.00324,https://marketplace.blockwaresolutions.com/detail/1515
KY-LF,Bitmain S19j Pro+ 120T,0.11000000000000001 PH/s,0.002378,-0.0009270000000000001,0.014499999999999999,10,0.0033049999999999998,https://marketplace.blockwaresolutions.com/detail/1509
KY-LF,Bitmain S19j Pro+ 120T,110.276 TH/s,0.002378,-0.000928,0.05775400000000001,5,0.003306,https://marketplace.blockwaresolutions.com/detail/1504
KY-LF,Bitmain S19j Pro+ 117T,105.97666666666667 TH/s,0.002276666666666667,-0.0010299999999999999,0.04814333333333334,3,0.003306666666666667,https://marketplace.blockwaresolutions.com/detail/1503
KY-LF,Bitmain S19 XP 141T,27.87 TH/s,0.00304,5e-05,0.06408,1,0.00299,https://marketplace.blockwaresolutions.com/detail/1487
KY-LF,Bitmain S19k Pro 115T,116.76 TH/s,0.00294,0.00022,0.044,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1486
KY-LF,Bitmain S19k Pro 115T,116.29 TH/s,0.00294,0.00022,0.0329,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1485
KY-LF,Bitmain S19k Pro 115T,116.26 TH/s,0.00294,0.00022,0.04849,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1484
KY-LF,Bitmain S19k Pro 115T,115.86 TH/s,0.00294,0.00022,0.0329,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1483
KY-LF,Bitmain S19k Pro 120T,121.59 TH/s,0.00307,0.00035,0.05195,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1482
KY-LF,Bitmain S19k Pro 120T,121.98 TH/s,0.00307,0.00035,0.05195,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1481
KY-LF,Bitmain S19k Pro 120T,121.55 TH/s,0.00307,0.00035,0.05195,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1480
KY-RH,Bitmain S21 195T,198.05 TH/s,0.00499,0.00153,0.10737,1,0.0034599999999999995,https://marketplace.blockwaresolutions.com/detail/1478
KY-RH,Bitmain S21 188T,190.28 TH/s,0.00481,0.00135,0.08832,1,0.00346,https://marketplace.blockwaresolutions.com/detail/1476
KY-RH,Bitmain S21 188T,190.58 TH/s,0.00481,0.00135,0.09158,1,0.00346,https://marketplace.blockwaresolutions.com/detail/1475
KY-LF,Whatsminer M50 120T,112.14 TH/s,0.00309,-0.00018,0.03931,1,0.00327,https://marketplace.blockwaresolutions.com/detail/1474
OK-GX,Bitmain S19 XP 141T,129.98 TH/s,0.00361,0.00073,0.09268,1,0.0028799999999999997,https://marketplace.blockwaresolutions.com/detail/1469
KY-LF,Whatsminer M30S++ 108T,102.36 TH/s,0.0028,-0.00063,0.00606,1,0.00343,https://marketplace.blockwaresolutions.com/detail/1465
KY-LF,Bitmain S19j Pro+ 120T,110.2 TH/s,0.00238,-0.00093,0.02945,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1459
KY-LF,Bitmain S19j Pro+ 120T,111.24 TH/s,0.00238,-0.00093,0.02945,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1458
KY-LF,Bitmain S19j Pro+ 120T,111.62 TH/s,0.00238,-0.00093,0.02945,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1457
KY-LF,Bitmain S19j Pro+ 120T,112.38 TH/s,0.00238,-0.00093,0.02945,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1456
